Biosample,Organism Group,Gram-Positive,Enterbacteriaceae,Non-Fermenting Gram-Negative ,Antibiotic,Resistance Phenotype,Resistance Binary,Has MIC,MIC (mg/L),bla_TEM Mutation,bla_CTX-M Mutation,bla_OXA Mutation,blaSHV Mutation,pbp2b Mutation,Total AMR Gene Count
SAMN06947876,E.coli and Shigella,0,1,0,amoxicillin,susceptible,0,0,0,0,0,0,0,0,5
SAMN08605480,Serratia marcescens,0,1,0,amoxicillin,resistant,1,1,32,0,0,0,0,0,5
SAMN03764930,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03765060,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.06,0,0,0,0,0,0
SAMN03765024,Streptococcus pneumoniae,1,0,0,amoxicillin,resistant,1,1,8,0,0,0,0,0,0
SAMN03764975,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03765080,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03764929,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03764978,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03765019,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03765039,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03765061,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.06,0,0,0,0,0,0
SAMN03765038,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03765006,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03764928,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03764951,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03765062,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03764952,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.03,0,0,0,0,0,0
SAMN03765025,Streptococcus pneumoniae,1,0,0,amoxicillin,susceptible,0,1,0.06,0,0,0,0,0,0
